'y:'	'x1:'	'x2:'
314.9	469	21.1
359	469	21.1
300.7	469	20.9
271.3	400	25.6
266.9	400	25.6
240.2	400	33.1
231.3	400	33.1
315.8	400	25.7
338.1	400	27.6
355.9	400	27.6
378.1	400	25.7
101.9	46	4.65
110.8	46	4.34
103.2	365	23
101.9	365	20.2
120.5	365	23
111.6	365	20.2
219.3	392	30.7
213.1	392	30.7
